AS2.A1ModJulian,AS2.Hellas_Planitia_GS.X,AS2.Hellas_Planitia_GS.Y,AS2.Hellas_Planitia_GS.Z,AS2.Valles_Marineris_GS.X,AS2.Valles_Marineris_GS.Y,AS2.Valles_Marineris_GS.Z,AS2.Schiaparelli_Crater_GS.X,AS2.Schiaparelli_Crater_GS.Y,AS2.Schiaparelli_Crater_GS.Z,AS2.Mawrth_Vallis_GS.X,AS2.Mawrth_Vallis_GS.Y,AS2.Mawrth_Vallis_GS.Z,AS2.Arcadia_Planitia_GS.X,AS2.Arcadia_Planitia_GS.Y,AS2.Arcadia_Planitia_GS.Z
21545.06419,1893.57053,-20445.18042,-5420.98237,-4543.636303,8660.14249,14765.29503,-708.0304027,-14299.65174,11456.31437,8374.395857,-2949.31068,15217.56425,-13008.37689,10772.8992,-15267.13417
21545.07252,1907.716961,-20443.54209,-5436.011674,-4545.82342,8641.855442,14774.75473,-707.2068275,-14315.33901,11442.82672,8373.805838,-2969.933353,15215.81988,-13001.00225,10791.12194,-15260.63554
21545.08086,1921.893674,-20441.35001,-5451.072182,-4547.901632,8623.234197,14783.78432,-706.3596629,-14330.73431,11428.86712,8372.989032,-2990.594277,15213.56991,-12993.24,10809.16098,-15253.78401
21545.08922,1936.062407,-20438.6079,-5466.123224,-4549.864863,8604.327847,14792.35764,-705.4910957,-14345.79477,11414.47149,8371.946754,-3011.237649,15210.81838,-12985.10959,10826.96675,-15246.59671
21545.09758,1950.18671,-20435.3207,-5481.126055,-4551.707614,8585.183923,14800.45091,-704.6032645,-14360.48041,11399.67519,8370.680842,-3031.810327,15207.57047,-12976.63052,10844.49257,-15239.09088
21545.10596,1964.233504,-20431.49382,-5496.045516,-4553.425079,8565.846029,14808.04327,-703.6981439,-14374.75544,11384.51102,8369.193323,-3052.264092,15203.83168,-12967.82108,10861.69644,-15231.28266
21545.11434,1978.161584,-20427.1362,-5510.83782,-4555.011735,8546.369687,14815.1106,-702.7782865,-14388.57663,11369.02164,8367.487644,-3072.538904,15199.61088,-12958.70557,10878.52697,-15223.19358
21545.12274,1991.938238,-20422.25582,-5525.468201,-4556.463376,8526.799439,14821.63444,-701.8457511,-14401.91019,11353.24162,8365.566895,-3092.587108,15194.91593,-12949.30387,10894.94371,-15214.84127
21545.13116,2005.524413,-20416.86411,-5539.895163,-4557.775375,8507.189483,14827.59432,-700.9030719,-14414.71687,11337.21376,8363.435546,-3112.351834,15189.75793,-12939.641,10910.89913,-15206.24793
21545.13958,2018.884594,-20410.97282,-5554.080972,-4558.943809,8487.589839,14832.97275,-699.9526097,-14426.96181,11320.9781,8361.098226,-3131.781378,15184.14824,-12929.74064,10926.35056,-15197.43459
21545.14802,2031.982339,-20404.59558,-5567.986909,-4559.964967,8468.052665,14837.75306,-698.9968474,-14438.61014,11304.57694,8358.560312,-3150.8227,15178.09992,-12919.62813,10941.25485,-15188.4238
21545.15648,2044.779217,-20397.74878,-5581.572154,-4560.835366,8448.634056,14841.9193,-698.0384869,-14449.62631,11288.05655,8355.828315,-3169.419896,15171.62859,-12909.33157,10955.56733,-15179.24058
21545.16494,2057.238423,-20390.44999,-5594.797612,-4561.552049,8429.388729,14845.45777,-697.0801884,-14459.97737,11271.46275,8352.90923,-3187.519442,15164.75092,-12898.87914,10969.24596,-15169.91005
21545.17342,2069.327724,-20382.71585,-5607.62905,-4562.112691,8410.365289,14848.35747,-696.1243341,-14469.63521,11254.83667,8349.809704,-3205.074479,15157.48267,-12888.29637,10982.25443,-15160.45498
21545.18191,2081.010463,-20374.56745,-5620.027541,-4562.515089,8391.620149,14850.60765,-695.1737178,-14478.56912,11238.22682,8346.538169,-3222.03174,15149.8437,-12877.61373,10994.55233,-15150.90258
21545.19041,2092.2519,-20366.02686,-5631.956201,-4562.757596,8373.207913,14852.19988,-694.231073,-14486.75126,11221.68088,8343.103484,-3238.340767,15141.85476,-12866.86154,11006.10222,-15141.27995
21545.19892,2103.019019,-20357.11718,-5643.379983,-4562.839081,8355.181593,14853.12785,-693.2990828,-14494.15644,11205.24583,8339.514927,-3253.953636,15133.53752,-12856.07003,11016.86936,-15131.61413
21545.20744,2113.279105,-20347.86358,-5654.264162,-4562.758894,8337.594943,14853.38717,-692.380496,-14500.76099,11188.97008,8335.782623,-3268.822877,15124.91548,-12845.2707,11026.82026,-15121.93332
21545.21597,2123.001834,-20338.29159,-5664.576556,-4562.516893,8320.498983,14852.9756,-691.477951,-14506.54434,11172.90029,8331.916873,-3282.904519,15116.0125,-12834.49425,11035.92476,-15112.26503
21545.22451,2132.157622,-20328.42871,-5674.285783,-4562.113472,8303.94485,14851.89304,-690.5941251,-14511.48791,11157.08404,8327.928766,-3296.155694,15106.85415,-12823.77235,11044.15451,-15102.63766
